lambda_um,ref,tran,emit,abs_silicon,emit_atm,ref_norm,emit_norm,abs_silicon_norm
17.023834,0.21840372,-2.7755576e-17,0.78159628,0.081945694,0.78730055,0.21840372,0.78159628,0.081945694
17.043544,0.21872105,-2.7755576e-17,0.78127895,0.081388895,0.7930159,0.21872105,0.78127895,0.081388895
17.063253,0.21903838,0,0.78096162,0.080832096,0.51829925,0.21903838,0.78096162,0.080832096
17.082963,0.2193557,5.5511151e-17,0.7806443,0.080275296,0.658869,0.2193557,0.7806443,0.080275296
17.102673,0.21966474,2.7755576e-17,0.78033526,0.079719459,0.99996588,0.21966474,0.78033526,0.079719459
17.122382,0.21992097,5.5511151e-17,0.78007903,0.079169755,0.85339751,0.21992097,0.78007903,0.079169755
17.142092,0.2201772,2.7755576e-17,0.7798228,0.078620052,0.4714573,0.2201772,0.7798228,0.078620052
17.161802,0.22043342,2.7755576e-17,0.77956658,0.078070348,0.74269668,0.22043342,0.77956658,0.078070348
17.181512,0.22068965,-5.5511151e-17,0.77931035,0.077520644,0.71838327,0.22068965,0.77931035,0.077520644
17.201221,0.22092915,-8.3266727e-17,0.77907085,0.077007271,0.99554118,0.22092915,0.77907085,0.077007271
17.220931,0.22091535,-8.3266727e-17,0.77908465,0.077043932,1,0.22091535,0.77908465,0.077043932
17.240641,0.22090155,0,0.77909845,0.077080592,0.91139127,0.22090155,0.77909845,0.077080592
17.26035,0.22088775,0,0.77911225,0.077117252,0.85307057,0.22088775,0.77911225,0.077117252
17.28006,0.22087396,0,0.77912604,0.077153912,0.61307574,0.22087396,0.77912604,0.077153912
17.29977,0.22086016,-2.7755576e-17,0.77913984,0.077190572,0.65710651,0.22086016,0.77913984,0.077190572
17.319479,0.2208152,-8.3266727e-17,0.7791848,0.077583901,0.67190735,0.2208152,0.7791848,0.077583901
17.339189,0.22076986,-2.7755576e-17,0.77923014,0.077981446,0.96250974,0.22076986,0.77923014,0.077981446
17.358899,0.22072453,2.7755576e-17,0.77927547,0.078378991,1,0.22072453,0.77927547,0.078378991
17.378609,0.2206792,-2.7755576e-17,0.7793208,0.078776536,0.95510277,0.2206792,0.7793208,0.078776536
17.398318,0.22063387,0,0.77936613,0.07917408,0.75745824,0.22063387,0.77936613,0.07917408
17.418028,0.22039564,5.5511151e-17,0.77960436,0.079621924,0.49675814,0.22039564,0.77960436,0.079621924
17.437738,0.22013941,-5.5511151e-17,0.77986059,0.080074458,0.44933137,0.22013941,0.77986059,0.080074458
17.457447,0.21988318,5.5511151e-17,0.78011682,0.080526993,0.54291425,0.21988318,0.78011682,0.080526993
17.477157,0.21962696,2.7755576e-17,0.78037304,0.080979528,0.56824449,0.21962696,0.78037304,0.080979528
17.496867,0.21937073,5.5511151e-17,0.78062927,0.081432063,0.92618726,0.21937073,0.78062927,0.081432063
17.516577,0.21929685,8.3266727e-17,0.78070315,0.08153218,0.80718049,0.21929685,0.78070315,0.08153218
17.536286,0.21925743,5.5511151e-17,0.78074257,0.081565687,0.87092672,0.21925743,0.78074257,0.081565687
17.555996,0.21921801,5.5511151e-17,0.78078199,0.081599193,0.9999416,0.21921801,0.78078199,0.081599193
17.575706,0.21917859,5.5511151e-17,0.78082141,0.0816327,0.99999523,0.21917859,0.78082141,0.0816327
17.595415,0.21913917,2.7755576e-17,0.78086083,0.081666206,0.95279404,0.21913917,0.78086083,0.081666206
17.615125,0.21930394,2.7755576e-17,0.78069606,0.081416873,0.99670545,0.21930394,0.78069606,0.081416873
17.634835,0.2195306,0,0.7804694,0.081081808,0.99999994,0.2195306,0.7804694,0.081081808
17.654545,0.21975726,0,0.78024274,0.080746743,0.91603877,0.21975726,0.78024274,0.080746743
17.674254,0.21998392,2.7755576e-17,0.78001608,0.080411678,0.66006173,0.21998392,0.78001608,0.080411678
17.693964,0.22021059,0,0.77978941,0.080076613,0.53972342,0.22021059,0.77978941,0.080076613
17.713674,0.2203511,2.7755576e-17,0.7796489,0.079771766,0.60988508,0.2203511,0.7796489,0.079771766
17.733383,0.22045359,2.7755576e-17,0.77954641,0.07948026,0.72491327,0.22045359,0.77954641,0.07948026
17.753093,0.22055608,2.7755576e-17,0.77944392,0.079188753,0.99999745,0.22055608,0.77944392,0.079188753
17.772803,0.22065857,5.5511151e-17,0.77934143,0.078897247,0.7704073,0.22065857,0.77934143,0.078897247
17.792513,0.22076107,2.7755576e-17,0.77923893,0.07860574,0.46652295,0.22076107,0.77923893,0.07860574
17.812222,0.22091,-5.5511151e-17,0.77909,0.078341,0.37541667,0.22091,0.77909,0.078341
17.831932,0.22108739,-5.5511151e-17,0.77891261,0.078092658,0.36118066,0.22108739,0.77891261,0.078092658
17.851642,0.22126477,2.7755576e-17,0.77873523,0.077844315,0.34487276,0.22126477,0.77873523,0.077844315
17.871351,0.22144216,0,0.77855784,0.077595973,0.34987573,0.22144216,0.77855784,0.077595973
17.891061,0.22161955,0,0.77838045,0.077347631,0.43615224,0.22161955,0.77838045,0.077347631
17.910771,0.22175709,-2.7755576e-17,0.77824291,0.077111567,0.31889545,0.22175709,0.77824291,0.077111567
17.93048,0.22186155,0,0.77813845,0.076885694,0.47378244,0.22186155,0.77813845,0.076885694
17.95019,0.22196601,2.7755576e-17,0.77803399,0.07665982,0.96720648,0.22196601,0.77803399,0.07665982
17.9699,0.22207047,2.7755576e-17,0.77792953,0.076433947,0.40280972,0.22207047,0.77792953,0.076433947
17.98961,0.22217493,5.5511151e-17,0.77782507,0.076208074,0.49824669,0.22217493,0.77782507,0.076208074
18.009319,0.22228126,2.7755576e-17,0.77771874,0.076008574,0.77883279,0.22228126,0.77771874,0.076008574
18.029029,0.22238966,5.5511151e-17,0.77761034,0.075838479,0.9999999,0.22238966,0.77761034,0.075838479
18.048739,0.22249806,2.7755576e-17,0.77750194,0.075668385,0.81811395,0.22249806,0.77750194,0.075668385
18.068448,0.22260647,-2.7755576e-17,0.77739353,0.07549829,0.49736367,0.22260647,0.77739353,0.07549829
18.088158,0.22271487,0,0.77728513,0.075328195,0.45069318,0.22271487,0.77728513,0.075328195
18.107868,0.22285868,-8.3266727e-17,0.77714132,0.075126157,0.90560409,0.22285868,0.77714132,0.075126157
18.127578,0.22305578,-2.7755576e-17,0.77694422,0.074876041,0.43886052,0.22305578,0.77694422,0.074876041
18.147287,0.22325287,0,0.77674713,0.074625924,0.54949301,0.22325287,0.77674713,0.074625924
18.166997,0.22344997,-5.5511151e-17,0.77655003,0.074375808,0.91830694,0.22344997,0.77655003,0.074375808
18.186707,0.22364707,0,0.77635293,0.074125692,0.99959599,0.22364707,0.77635293,0.074125692
18.206416,0.22380246,-5.5511151e-17,0.77619754,0.073906631,0.72207764,0.22380246,0.77619754,0.073906631
18.226126,0.22387144,0,0.77612856,0.07375191,0.69267384,0.22387144,0.77612856,0.07375191
18.245836,0.22394043,5.5511151e-17,0.77605957,0.073597189,0.99156638,0.22394043,0.77605957,0.073597189
18.265546,0.22400941,-2.7755576e-17,0.77599059,0.073442467,0.97550716,0.22400941,0.77599059,0.073442467
18.285255,0.22407839,2.7755576e-17,0.77592161,0.073287746,0.97873443,0.22407839,0.77592161,0.073287746
18.304965,0.22416922,1.110223e-16,0.77583078,0.073111229,1,0.22416922,0.77583078,0.073111229
18.324675,0.22432493,8.3266727e-17,0.77567507,0.072869982,0.99983774,0.22432493,0.77567507,0.072869982
18.344384,0.22448064,0,0.77551936,0.072628735,0.99999936,0.22448064,0.77551936,0.072628735
18.364094,0.22463634,2.7755576e-17,0.77536366,0.072387488,0.92358896,0.22463634,0.77536366,0.072387488
