lambda_um,n,k
2.6954,1.384,0.001
2.6991,1.384,0.001
2.7027,1.384,0.001
2.7064,1.384,0.001
2.71,1.384,0.001
2.7137,1.384,0.001
2.7174,1.384,0.001
2.7211,1.385,0.001
2.7248,1.384,1e-06
2.7285,1.384,0.001
2.7322,1.384,0.001
2.736,1.384,0.001
2.7397,1.384,0.001
2.7435,1.384,0.001
2.7473,1.385,1e-06
2.751,1.384,0.001
2.7548,1.384,0.001
2.7586,1.384,0.001
2.7624,1.384,0.001
2.7663,1.385,0.001
2.7701,1.385,1e-06
2.7739,1.385,1e-06
2.7778,1.384,1e-06
2.7816,1.384,1e-06
2.7855,1.384,1e-06
2.7894,1.384,1e-06
2.7933,1.384,1e-06
2.7972,1.384,1e-06
2.8011,1.383,1e-06
2.805,1.384,1e-06
2.809,1.384,1e-06
2.8129,1.384,1e-06
2.8169,1.383,1e-06
2.8209,1.384,1e-06
2.8249,1.384,1e-06
2.8289,1.383,1e-06
2.8329,1.383,1e-06
2.8369,1.383,1e-06
2.8409,1.382,1e-06
2.845,1.383,1e-06
2.849,1.382,1e-06
2.8531,1.383,1e-06
2.8571,1.383,1e-06
2.8612,1.383,1e-06
2.8653,1.383,1e-06
2.8694,1.383,1e-06
2.8736,1.383,1e-06
2.8777,1.382,1e-06
2.8818,1.382,1e-06
2.886,1.383,1e-06
2.8902,1.383,1e-06
2.8944,1.382,1e-06
2.8986,1.382,1e-06
2.9028,1.382,1e-06
2.907,1.382,1e-06
2.9112,1.382,1e-06
2.9155,1.382,1e-06
2.9197,1.382,1e-06
2.924,1.382,1e-06
2.9283,1.382,1e-06
2.9326,1.382,1e-06
2.9369,1.382,1e-06
2.9412,1.382,1e-06
2.9455,1.382,1e-06
2.9499,1.382,1e-06
2.9542,1.382,1e-06
2.9586,1.382,1e-06
2.963,1.381,1e-06
2.9674,1.381,1e-06
2.9718,1.381,1e-06
2.9762,1.381,1e-06
2.9806,1.381,1e-06
2.9851,1.381,1e-06
2.9895,1.381,1e-06
2.994,1.381,1e-06
2.9985,1.381,1e-06
3.003,1.381,1e-06
3.0075,1.381,1e-06
3.012,1.381,1e-06
3.0166,1.38,1e-06
3.0211,1.38,1e-06
3.0257,1.38,1e-06
3.0303,1.38,1e-06
3.0349,1.38,1e-06
3.0395,1.38,1e-06
3.0441,1.38,1e-06
3.0488,1.38,1e-06
3.0534,1.38,1e-06
3.0581,1.379,1e-06
3.0628,1.38,1e-06
3.0675,1.379,1e-06
3.0722,1.379,1e-06
3.0769,1.379,1e-06
3.0817,1.379,1e-06
3.0864,1.379,1e-06
3.0912,1.379,1e-06
3.096,1.379,1e-06
3.1008,1.378,1e-06
3.1056,1.378,1e-06
3.1104,1.378,1e-06
3.1153,1.378,1e-06
3.1201,1.378,1e-06
3.125,1.378,1e-06
3.1299,1.378,1e-06
3.1348,1.378,1e-06
3.1397,1.378,1e-06
3.1447,1.378,1e-06
3.1496,1.378,1e-06
3.1546,1.378,1e-06
3.1596,1.378,1e-06
3.1646,1.377,1e-06
3.1696,1.377,1e-06
3.1746,1.377,1e-06
3.1797,1.377,1e-06
3.1847,1.376,1e-06
3.1898,1.377,0.001
