lambda_um,n,k
10.062771,3.421149,0.00010094
10.077639,3.421148,0.00010411
10.092506,3.421147,0.00010727
10.107374,3.421146,0.00011044
10.122241,3.421145,0.00011361
10.137109,3.421144,0.00011678
10.151976,3.421143,0.00011995
10.166843,3.421142,0.00012312
10.181711,3.421141,0.00012629
10.196578,3.42114,0.00012946
10.211446,3.421139,0.00013161
10.226313,3.421138,0.00013346
10.241181,3.421137,0.00013531
10.256048,3.421136,0.00013716
10.270915,3.421135,0.00013902
10.285783,3.421134,0.00014087
10.30065,3.421133,0.00014272
10.315518,3.421132,0.00014402
10.330385,3.421131,0.00014438
10.345253,3.42113,0.00014475
10.36012,3.421129,0.00014511
10.374987,3.421127,0.00014548
10.389855,3.421126,0.00014585
10.404722,3.421125,0.00014621
10.41959,3.421124,0.00014658
10.434457,3.421123,0.00014642
10.449325,3.421122,0.00014625
10.464192,3.421121,0.00014607
10.47906,3.42112,0.0001459
10.493927,3.421119,0.00014573
10.508794,3.421118,0.00014556
10.523662,3.421117,0.00014538
10.538529,3.421116,0.00014575
10.553397,3.421115,0.00014653
10.568264,3.421114,0.0001473
10.583132,3.421112,0.00014808
10.597999,3.421111,0.00014885
10.612866,3.42111,0.00014963
10.627734,3.421109,0.00015041
10.642601,3.421108,0.00015151
10.657469,3.421107,0.00015413
10.672336,3.421106,0.00015675
10.687204,3.421105,0.00015937
10.702071,3.421104,0.00016199
10.716938,3.421103,0.00016462
10.731806,3.421102,0.00016724
10.746673,3.4211,0.00016987
10.761541,3.421099,0.00017249
10.776408,3.421098,0.00017511
10.791276,3.421097,0.00017774
10.806143,3.421096,0.00018036
10.821011,3.421095,0.00018299
10.835878,3.421094,0.00018561
10.850745,3.421093,0.00018824
10.865613,3.421092,0.00019087
10.88048,3.42109,0.00019329
10.895348,3.421089,0.00019562
10.910215,3.421088,0.00019796
10.925083,3.421087,0.00020029
10.93995,3.421086,0.00020263
10.954817,3.421085,0.00020497
10.969685,3.421084,0.0002073
10.984552,3.421083,0.00020964
10.99942,3.421081,0.00021198
11.014287,3.42108,0.00021432
11.029155,3.421079,0.00021666
11.044022,3.421078,0.00021899
11.058889,3.421077,0.00022133
11.073757,3.421076,0.00022367
11.088624,3.421075,0.00022601
11.103492,3.421074,0.00022835
11.118359,3.421072,0.00022982
11.133227,3.421071,0.00023062
11.148094,3.42107,0.00023142
11.162961,3.421069,0.00023221
11.177829,3.421068,0.00023301
11.192696,3.421067,0.00023381
11.207564,3.421066,0.0002346
11.222431,3.421064,0.0002354
11.237299,3.421063,0.0002362
11.252166,3.421062,0.00023583
11.267034,3.421061,0.0002352
11.281901,3.42106,0.00023457
11.296768,3.421059,0.00023394
11.311636,3.421057,0.00023331
11.326503,3.421056,0.00023268
11.341371,3.421055,0.00023205
11.356238,3.421054,0.00023142
11.371106,3.421053,0.00023126
11.385973,3.421052,0.00023126
11.40084,3.42105,0.00023126
11.415708,3.421049,0.00023126
11.430575,3.421048,0.00023126
11.445443,3.421047,0.00023127
11.46031,3.421046,0.00023127
11.475178,3.421045,0.00023127
11.490045,3.421043,0.00023126
11.504912,3.421042,0.00022841
11.51978,3.421041,0.00022555
11.534647,3.42104,0.00022269
11.549515,3.421039,0.00021984
11.564382,3.421038,0.00021698
11.57925,3.421036,0.00021413
11.594117,3.421035,0.00021127
11.608984,3.421034,0.00020842
11.623852,3.421033,0.00020557
11.638719,3.421032,0.00020311
11.653587,3.42103,0.00020095
11.668454,3.421029,0.00019878
11.683322,3.421028,0.00019661
11.698189,3.421027,0.00019445
11.713057,3.421026,0.00019228
11.727924,3.421024,0.00019011
11.742791,3.421023,0.00018795
11.757659,3.421022,0.00018578
11.772526,3.421021,0.00018474
11.787394,3.42102,0.00018391
11.802261,3.421018,0.00018308
11.817129,3.421017,0.00018224
11.831996,3.421016,0.00018141
11.846863,3.421015,0.00018058
11.861731,3.421014,0.00017975
11.876598,3.421012,0.00017892
11.891466,3.421011,0.00017809
11.906333,3.42101,0.00017906
11.921201,3.421009,0.00018245
11.936068,3.421007,0.00018585
11.950935,3.421006,0.00018925
11.965803,3.421005,0.00019265
11.98067,3.421004,0.00019605
11.995538,3.421003,0.00019945
12.010405,3.421001,0.00020284
12.025273,3.421,0.00020624
12.04014,3.420999,0.00020964
12.055008,3.420998,0.00021291
12.069875,3.420996,0.00021591
12.084742,3.420995,0.00021892
12.09961,3.420994,0.00022192
12.114477,3.420993,0.00022493
12.129345,3.420991,0.00022793
12.144212,3.42099,0.00023094
12.15908,3.420989,0.00023394
12.173947,3.420988,0.00023695
12.188814,3.420987,0.00023996
12.203682,3.420985,0.00024203
12.218549,3.420984,0.00024127
12.233417,3.420983,0.00024051
12.248284,3.420982,0.00023975
12.263152,3.42098,0.00023899
12.278019,3.420979,0.00023823
12.292886,3.420978,0.00023747
12.307754,3.420976,0.00023672
12.322621,3.420975,0.00023596
12.337489,3.420974,0.0002352
12.352356,3.420973,0.00023427
12.367224,3.420971,0.00023242
12.382091,3.42097,0.00023058
12.396958,3.420969,0.00022873
12.411826,3.420968,0.00022688
12.426693,3.420966,0.00022504
12.441561,3.420965,0.00022319
12.456428,3.420964,0.00022135
12.471296,3.420963,0.0002195
12.486163,3.420961,0.00021766
12.501031,3.42096,0.00021614
12.515898,3.420959,0.00021907
12.530765,3.420957,0.000222
12.545633,3.420956,0.00022492
12.5605,3.420955,0.00022785
12.575368,3.420954,0.00023078
12.590235,3.420952,0.00023371
12.605103,3.420951,0.00023664
12.61997,3.42095,0.00023957
12.634837,3.420948,0.0002425
12.649705,3.420947,0.00024543
12.664572,3.420946,0.0002477
12.67944,3.420945,0.00024849
